Name,Title,Review,Rating,Date,Type,Details,Review_Length,positive,negative,neutral,compound
Pritam,Best phone,Camera quality is awesome,5.0 out of 5 stars,2024-02-06 00:00:00,Apple iPhone 14,No Details,25,0.577,0,0.423,0.6249
Rahul Sharma,Excellent phone,Better than One Plus,5.0 out of 5 stars,2024-01-25 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,20,0.492,0,0.508,0.4404
Kiran thapa,I phone 14 red,Hmm nice .,4.0 out of 5 stars,2023-10-27 00:00:00,Apple iPhone 14,Colour: RedSize: 128 GB,10,0.737,0,0.263,0.4215
Divyesh,Overheating,"Getting overheat, while on call, also whike using hot-spot and charging the device.",2.0 out of 5 stars,2024-05-12 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,83,0,0,1,0
Shashank Shekhar Ojha,Awesome 😊👌🏻,Awesome phone 😊✌🏻,4.0 out of 5 stars,2023-10-13 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,17,0.672,0,0.328,0.6249
Ramesh Choudhary,iPhone is best,"I upgraded from iPhone 11 to iPhone 14. In simple iPhone is best in all ways. Its costly but its worth it.Every feature of iPhone 14 is awesomeCamera, speed, flawness, etc are more than expected.Battery if you use more screen time then it will last for 7-8 hrs if not using much or simple use then it will easily last for more then one day.Go for it if you can afford instead of android.",5.0 out of 5 stars,2023-06-30 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,387,0.103,0.015,0.882,0.7814
Sumit S Illamalle,Wonderful phone,"This phone is a gem. Photo clarity is awesome. This is the phone to use for ages given now iPhone has moved to type c port, this is the last generation of lightning charger.",5.0 out of 5 stars,2023-11-29 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,173,0.185,0,0.815,0.7783
Peeyoosh Kumar,The iPhone 14 Pro Max: An Epitome of Excellence,"Here is my review of the iPhone 14 Pro Max after using it for a couple of weeks:The iPhone 14 Pro Max is the most advanced and powerful smartphone that Apple has made. It offers a stunning design, a superb display, a pro-level camera system, and a blazing-fast performance. It is not a cheap device, but it is worth every penny if you are looking for the best of the best.Design: The iPhone 14 Pro Max has a sleek and elegant design that feels premium in the hand. It has a flat 6.7-inch OLED display that covers almost the entire front of the device, with a pill-shaped notch at the top that houses the Face ID sensors and the selfie camera. The back of the device is made of textured matt glass that resists fingerprints and scratches, and the frame is made of stainless steel that adds durability and shine. The device comes in four beautiful colors: Space Black, Silver, Gold, and Deep Purple. The iPhone 14 Pro Max also has an IP68 rating, which means it can withstand water up to 6 meters deep for up to 30 minutes.Display: The display of the iPhone 14 Pro Max is one of its main highlights. It features a Super Retina XDR OLED display with a resolution of 2796x1290 pixels and a pixel density of 460 ppi. The display supports HDR10 and Dolby Vision, which means it can deliver stunning colors and contrast for watching videos and playing games. The display also has a refresh rate of 120Hz, which makes everything look smoother and more responsive. The display uses ProMotion technology, which adapts the refresh rate to the content on the screen, saving battery life and improving performance. The display also has an Always-On feature, which shows your personalized lock screen with your favorite widgets without having to tap the screen.Camera: The camera system of the iPhone 14 Pro Max is another major selling point. It features a quad-camera setup on the rear, consisting of a 48MP main camera, a 12MP ultra-wide camera, a 12MP 2x telephoto camera, and a 12MP 3x telephoto camera. The main camera has a quad-pixel sensor that can capture more detail and light in every shot. It also has a second-generation sensor-shift optical image stabilization, which reduces blur and shake in low-light conditions. The ultra-wide camera has a 120-degree field of view, which lets you capture more scenery and perspective in your photos. The telephoto cameras have optical-quality zoom, which lets you get closer to your subject without losing quality. The camera system also supports Night mode, Portrait mode, Panorama mode, Macro mode, Photographic Styles, and Smart HDR 4, which enhance your photos with advanced algorithms and effects. The camera system also supports Cinematic mode, which lets you shoot professional-looking videos in 4K HDR at 24 fps with depth-of-field control. You can also edit your videos in ProRes or Dolby Vision HDR formats on your device or on your Mac.Performance: The iPhone 14 Pro Max is powered by the A16 Bionic chip, which is the most powerful processor that Apple has ever created. It has a 6-core CPU, a 5-core GPU, and a 16-core Neural Engine, which work together to deliver fast and smooth performance for any task. The A16 Bionic chip can handle demanding workloads such as gaming, video editing, augmented reality, machine learning, and more with ease. It also has a power-efficient design, which allows it to run at high speeds for longer without draining the battery.Battery: The battery life of the iPhone 14 Pro Max is impressive as well. It has a large 4,400 mAh battery that can last up to 29 hours of video playback or up to 23 hours of video streaming on a single charge. It also supports fast charging with a USB-C to Lightning cable or a MagSafe charger, which can charge up to 50% in just 30 minutes. It also supports wireless charging with any Qi-compatible charger or accessory.Overall experience: The iPhone 14 Pro Max is an amazing device that offers everything you could ask for in a smartphone. It has a gorgeous design, a brilliant display, a fantastic camera system, and an incredible performance. It is easy to use and secure with iOS 16, which offers many new features and improvements such as Dynamic Island, Action mode, FaceTime SharePlay, Live Text, Focus, Safari redesign, and more. It also works seamlessly with other Apple devices and services such as AirPods, Apple Watch, iCloud, Apple Music, Apple TV+, Apple Arcade, Apple Pay, and more.The iPhone 14 Pro Max is not for everyone though. It is a very large and heavy device, which may not be comfortable for some people to hold or carry. It is also very expensive, starting at ₹1,29,900 for the 128GB model and going up to ₹1,69,900 for the 1TB model. It also does not have a headphone jack, a microSD card slot, or a fingerprint scanner, which may be deal-breakers for some users.However, if you are looking for the ultimate smartphone experience and you don't mind the size, the price, or the lack of some features, then the iPhone 14 Pro Max is the perfect choice for you. It is a device that will impress you with its design, display, camera, and performance. It is a device that will make you feel like a pro.",5.0 out of 5 stars,2023-07-28 00:00:00,Apple iPhone 14 Pro Max,No Details,5139,0.154,0.016,0.83,0.9992
Benu,The Apple Pro Max 14: A Powerful Beast That Delivers on All Fronts,"The Apple Pro Max 14 is the latest addition to Apple's line of premium smartphones, and it's a true powerhouse. With its stunning 6.7-inch OLED display, A16 Bionic chip, and 5G connectivity, this phone is designed to impress.One of the standout features of the Pro Max 14 is its camera system. With a triple-lens setup that includes a 12MP ultra-wide lens, a 12MP wide lens, and a 12MP telephoto lens, this phone is capable of capturing stunning photos and videos in any lighting condition. The Pro Max 14 also features Apple's new ProRAW format, which allows for even more control over your photos.In terms of performance, the Pro Max 14 is a true beast. The A16 Bionic chip is incredibly fast and efficient, and it's capable of handling even the most demanding tasks with ease. Whether you're playing graphics-intensive games or editing 4K video, this phone won't skip a beat.The Pro Max 14 also features a massive 4,500mAh battery, which provides all-day battery life even with heavy usage. And with 5G connectivity, you can enjoy lightning-fast download and upload speeds wherever you go.Overall, the Apple Pro Max 14 is an impressive smartphone that delivers on all fronts. If you're looking for a powerful device that can handle anything you throw at it, this phone is definitely worth considering.",5.0 out of 5 stars,2023-05-25 00:00:00,Apple iPhone 14 Pro Max,No Details,1304,0.16,0.009,0.831,0.9849
Rohit D.,"Welcome to ""Dynamic Island""","The delivery was a bit delayed considering I pre-ordered the phone as soon as it launched.However the phone is an absolute beast. Took around 1.5 hours to move from Android to iOS (Move to iOS app) but the process was really smooth. Really digging the Purple colour. Installed Spigen EZFit screen protector right out of the box without any hasslesPros -Battery Backup - Should last for slightly more than a full day on heavy usage.Display - Gets extremely bright even in sunny outdoorsPerformance - A16 really shines even though it's not a big jump up from the A15Premium - Feels like you own an expensive phone. I've had a few Pixel, OnePlus and Samsung phones in the past, but nothing feels as premium as this.Move to iOS - For me, the Android to iOS movement was pretty smooth. Managed to transfer around 400 contacts, 3000 Messages, 15GB of whatsapp data (Your mileage may vary)Camera - No regrets here. Every shot that you take might be one of the best shots any phone camera can take.Cons -Expensive - Considering the price wasn't changed in U.S., it's still a very expensive phoneAvailability - A bit harder to get right now (My brother still struggling with his pre-order from Amazon)",5.0 out of 5 stars,2022-09-21 00:00:00,Apple iPhone 14 Pro Max,No Details,1192,0.099,0.052,0.849,0.9207
Harsh Singh,Best iPhone yet.,"Upgraded from my galaxy S8+ so I could feel a significant difference. The phone is off the charts, it’s that damn good. And the colour gold looks extremely gorgeous in person than in the videos. I carry my phone without a case and there is no doubt it looks like a piece of jewellery, gotten immense compliments for it. Won’t bore you all with the geeky details which can be easily found on the web. All I can say the interface is way too smooth and the dynamic island is a funky lil feature that I love the most about this phone. The always on display is creatively done, stands out in the crowd, ppl instantly know which phone you’re carrying. Plus when the album art of Apple Music that stays in the AOD is a lovely lil touch. All in all if you can afford it, go for it. Believe me you’ll not regret it, it is miles better than iPhone 12 and 13. The Pro models of iPhone 14 are definitely worth it. I got my money’s worth with this phone, it is absolutely gorgeous and pleasing to look at it.",5.0 out of 5 stars,2022-11-25 00:00:00,Apple iPhone 14 Pro Max,No Details,995,0.224,0.056,0.721,0.9893
balyogesh,Very useful phone,Ghb,4.0 out of 5 stars,2023-11-16 00:00:00,Apple iPhone 14 Pro Max,No Details,3,0,0,1,0
Milton,Great,"Apple hasn’t made any bones about the fact that there are certain products it has that aren’t meant for everyone. Some of these — like the Mac Studio or even the Mac mini — are way too niche and will be sought by those who really need them. And then there are those that bring the best of Apple at an expensive — very expensive — price point but are desired by many. The iPhone’s Pro models have always been in the category — the coveted one, the desirable one, the one that makes you want to junk that financial prudence that has been drilled in you. The iPhone 14 Pro Max is very much that phone — the best of Apple and by now you know that it is an expensive phone. Rs 1,39,900 is the starting price and there’s little point in debating on why it’s so expensive and whether it’s value for money or not. It’s an Apple product, it is an iPhone, and it is the Pro Max variant — of course it will be expensive. Apple wants your money and the iPhone 14 Pro Max is that dangling proposition that may just want you to break the bank and get one.DESIGN AND DISPLAYSeen one? Seen all. If you have seen the iPhone 12 Pro Max or the iPhone 13 Pro Max then the iPhone 14 Pro Max has very little different to offer in terms of design. It’s a popular design with a stainless frame that looks elegant and the frosted glass back is still gorgeous to look at. Apple knows that this design is a hit and there’s no point in expecting it to change anytime soon. Generally, an Apple design lasts for years before a new one comes. Don’t believe us? Look at the MacBook Air, which followed a similar design philosophy for years till the M2 model arrived this year. So don’t expect Apple to make wholesale changes to the design every year, you will only get disappointed.The one remarkable thing about the design of the iPhone 14 Pro Max is that yes, you have seen it before and yes, it hasn’t changed but it still looks great. But do keep in mind that this is a really big phone. If you aren’t used to a big phone then perhaps think twice before getting this or look at the iPhone 14 Pro instead. I wouldn’t call it unwieldy but yes, it is certainly not a one-handed phone. The Samsung Galaxy S22 Ultra felt really big but this one feels rather bigger in the hand. And yes, it is heavy as well at 240 grams.The big size is preferred by many as it brings in a big display and it’s a compromise many would settle for on the iPhone 14 Pro Max. The 6.7-inch OLED display offers a resolution of 2796 x 1290 pixel and 460ppi pixel density. What’s that in common parlance? An excellent display that is great to look at, colour reproduction is accurate and the brightness levels are optimum. Apple claims that the iPhone 14 Pro Max offers the maximum brightness in a smartphone — 2000 nits of brightness in direct sunlight. We had zero problems reading on the iPhone 14 Pro Max even when it was really sunny outside.The 120Hz ProMotion refresh rate works as smoothly as it did on the iPhone 13 Pro Max — no complaints or no changes here to see. The display is extremely snappy and a lot of it is down to iOS 16 as well as Apple does handle animations much better than most of its competition does.If the refresh rate and other specs remain the same, then there’s something new in the form of the Always-on display. Better late than never, some may say. Apple is fashionably late but has arrived in some style. Now I am sure you must have read that some Android phone brought Always-on display first. Heck, even Google couldn’t resist the temptation to take a dig at Apple during its biggest hardware event of 2022. But Apple has created a perception that it isn’t in the rat race and that some features might not come first but they do come with a difference. Like the Always-on display.Apple’s implementation of Always-on display is unlike any other smartphone. What happens on the iPhone 14 Pro Max when Always-on display is turned on is that the lock screen is dimmed. “Display, display on the phone, who’s the prettiest of ‘em all?” It’s the iPhone 14 Pro Max with the Always-on display. You can see notifications, lock screen widgets and everything else but it is subtly dimmed. If you have an iPhone and you use it for the first time, you might feel that was there a need for this? Not really but once you’ve used it, I bet you will not be able to use the iPhone 14 Pro Max without toggling on the Always-on display.DYNAMIC ISLANDNow generally we tend to keep all display features in one sub-head but we are making an exception for the Dynamic Island. After all it is the belle of the ball, the headline act of the iPhone 14 Pro Max. Or at least it’s the most-talked about feature on this year’s iPhones. And it does deserve a separate section as it is delightfully done. The notch was Apple’s gift to the smartphone industry. The first year after the launch of iPhone X — the first one with the notch — Android brands made a beeline to adopt the notch as if Santa Claus handed it out on Christmas. But then Android phone makers came up with their really good iterations of it and Apple stuck with the notch until the Dynamic Island arrived with the iPhone 14 Pro models. And man, it is so well done that you just keep fiddling with it only for the first few days — at least that’s what I found myself doing. The Dynamic Island is a different take on the notch and makes the use of that space which no one else ever thought of doing it before Apple. Not a fan of the name but this is a really cool feature to use and is not gimmicky at all.For someone who uses Apple Music a lot more than one should, the Dynamic Island is a treat. It will show the album artwork along the playback controls, and the waveform, AirPlay — all in that tiny little space. If you are using any app and get an incoming call, then the Dynamic Island will show the alert and all the call controls. AirPods Pro’s battery life also appears in the Dynamic Island. Apple Maps directions also come on the Dynamic Island and so much so that at times I did ditch Google Maps for it because it looks really good.Apple has always had a way of showing all these notifications but never had a ‘home’ — which is now the Dynamic Island. In a few months, here’s hoping that other developers take advantage of the Dynamic Island as it is a really fun and useful feature. Apple is expected to launch Live Activities API soon and that’s when we will really see the Dynamic Island thrive and it is something that should get a lot of people excited. Is the feature good enough to pay the difference between the iPhone 14 and iPhone 14 Pro price? It certainly is if you want the complete iPhone experience.CAMERAIt has been well established that the iPhone cameras are one of the most consistent and versatile ones around. Apple seemed mightily reluctant to get in the megapixel race and remained steady with 12MP cameras. A case of better late than never yet again and once more Apple has done it differently. The primary camera now has a 48MP sensor, which produces some excellent images. All the images clicked from the 48MP camera have rich colours and look exceptionally vibrant and true to life. There are a lot of details captured especially in the images which were clicked using ProRAW. Like every other 48MP camera, Apple too uses pixel binning to give you 12MP images only but the ProRAW mode actually gives you 48MP images. And the difference is quite stark as more details are captured. But the trade-off is that images clicked with the 48MP camera consume a lot of space, like a lot. The photos we clicked ranged anywhere between 12MB to 42MB — so use it rather judiciously. Of course, ProRAW is meant not just for utilising the 48MP camera.What works in the favour of the primary 48MP camera — with and without pixel binning — is the consistency it offers. You can be clicking in good lighting condition or not-so-good conditions, the iPhone 14 Pro Max delivers images that make you sit up and take note. Apple has certainly improved low-light photography as the iPhone 14 Pro Max does a wonderful job when the lights are dimmed. What the 48MP primary camera also gives is the option of 2x optical zoom lens — a nice addition to the iPhone 14 Pro Max’s camera’s arsenal.The other 12MP cameras — telephoto and ultra-wide — also do a fine job of clicking images. Portraits clicked on the iPhone 14 Pro Max look great and bokeh effect is spot on. Apple’s computational photography has been a step ahead of others and on the iPhone 14 Pro Max you get the Photonic Engine. As per Apple, this is meant to improve colour reproduction and click better images in less light.The lack of zoom on the telephoto camera now does rankle a bit. The iPhone 14 Pro Max offers 3x zoom at a time when the likes of Samsung Galaxy S22 Ultra can go up to 100x. I do wish Apple brings more zoom capabilities on the next iPhone as it is perhaps the only feature that is missing on these cameras.The Macro mode — enabled automatically — is a true delight on the iPhone 14 Pro Max. No one has done a better job with the macro mode than Apple as the results are truly excellent. Try capturing fabrics with the iPhone 14 Pro Max and the level of details is fascinating to see. You will find macro modes in so many smartphones’ cameras but the iPhone 14 Pro Max is a cut above the rest.For the selfie/usfie/groupfie/whateverfie brigade, Apple has added a brand new camera. The 12MP camera now gets autofocus and it is really impressive. And it really shows in FaceTime calls or other video calls as well. There’s more clarity than there ever was on any iPhone. The front camera is a significant improvement on the iPhone 14 Pro Max.Where the iPhone 14 Pro Max’s camera really shines is videos. Apple brought Cinematic Mode last year with the iPhone 13 Pros and with the iPhone 14 Pros, you get the all-new Action Mode. No, it’s not a gimbal or anything like that. What it does is it really it offers really good stabilisation and that’s because Apple has improved EIS (electronic image stabilisation). You don’t get 4K recording with this mode as maximum resolution offered is 2.8K but it is still very good. The footage almost always remained really stable. The Cinematic Mode still remains great fun to use.Is this the best camera setup in any smartphone? Not exactly but it is certainly most versatile and consistent cameras in any smartphone. Almost every image is pleasing to look at and more than anything, the iPhone 14 Pro Max makes you want to click more images — something that I can’t say about any other smartphone, except the Pixel phones.PERFORMANCE, BATTERY LIFEThis will be rather short and concise: the A-series Bionic processors on the iPhones have always been blazing fast and the iPhone 14 Pro Max with A16 is no different. The phone is a total powerhouse in every sense and handles all sorts of tasks comically well. You really can’t find any fault in the performance of the iPhone 14 Pro Max as it really is flawless. The iOS 16 experience is still getting refined so you might see a bug here and there but I expect Apple to sort that out soon.The iPhone 13 Pro Max by far had the best battery performance I have seen in all the phones reviewed in the last 12 months. Expectations were lofty from the iPhone 14 Pro Max and it was a rather bumpy start. In the first few days, with just under 5 hours of screen time, the phone had consumed close to 84% battery — alarm bells did ring as Apple did tout the battery life of the iPhone 14 Pro Max. However after a few days normalcy was resumed as with six hours of screen time — with Always-on enabled — the iPhone 14 Pro Max still had 40% battery left. Does the Always-on display consume a lot of battery?Slightly but it’s not a battery guzzling feature. Overall, with a lot of streaming on Apple Music, Safari, WhatsApp, social media activities on a daily basis, the iPhone 14 Pro Max can really go on for a day — and then some — on a single charge.VERDICTApple has made a habit of making excellent smartphones and the iPhone 14 Pro Max is no different. There’s no escaping the fact that the iPhone 14 Pro Max is one of the most expensive smartphones you can buy — starting at Rs 1,39,900 and goes up to Rs 1,89,900 (1TB storage variant). You might think that it will be a hard sell especially in a country like India. India still remains a vanilla iPhone island but the aspiration to go Pro is strong as ever.This year Apple has really separated the Pro models from the vanilla ones with the iPhone 14 series. And there is still an audience that salivates at the thought of getting an iPhone Pro — perhaps they have used the vanilla and want an upgrade or they are the ones that just want the best of Apple. The iPhone 14 Pro Max gets the best of Apple in every sense. The display is a delight — Dynamic Island is great fun — and the cameras have been upgraded as well. Should you go for it? Without battling an eyelid as long as you can splash the cash The iPhone 14 Pro Max is one of the best smartphones money can buy.",5.0 out of 5 stars,2023-01-25 00:00:00,Apple iPhone 14 Pro Max,No Details,13009,0.168,0.022,0.809,0.9999
